time ./waf --run "tor-example --use-nsc=false" | tee tor-example.txt

Waf: Entering directory `/home/ns3nsc/nstor/build'
Waf: Leaving directory `/home/ns3nsc/nstor/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.068s)
3.33 323700 97608 498000 264936 498000 285354 
3.34 323700 97608 498000 264936 498000 285354 
3.35 323700 97608 498000 264936 498000 285354 
3.36 323700 97608 498000 264936 498000 285354 
3.37 323700 97608 498000 264936 498000 285354 
3.38 323700 97608 498000 264936 498000 285354 
3.39 323700 97608 498000 264936 498000 285354 
3.4 323700 97608 498000 264936 498000 285354 
3.41 323700 97608 498000 264936 522900 285354 
3.42 323700 97608 498000 264936 522900 285354 
3.43 323700 103584 498000 270912 522900 297306 
3.44 323700 103584 498000 270912 522900 297306 
3.45 323700 103584 498000 270912 522900 297306 
3.46 323700 103584 498000 270912 522900 297306 
3.47 323700 103584 498000 270912 522900 297306 
3.48 323700 103584 498000 270912 522900 297306 
3.49 323700 103584 498000 270912 522900 297306 
3.5 323700 103584 498000 270912 522900 297306 
3.51 348600 103584 498000 270912 522900 297306 
3.52 348600 103584 498000 270912 522900 297306 
3.53 348600 109062 498000 276390 522900 310254 
3.54 348600 109062 498000 276390 522900 310254 
3.55 348600 109062 498000 276390 522900 310254 
3.56 348600 109062 498000 276390 522900 310254 
3.57 348600 109062 498000 276390 522900 310254 
3.58 348600 109062 498000 276390 522900 310254 
3.59 348600 109062 498000 276390 522900 310254 
3.6 348600 109062 498000 276390 522900 310254 
3.61 348600 109062 522900 276390 547800 310254 
3.62 348600 109062 522900 276390 547800 310254 
3.63 348600 115038 522900 281868 547800 322206 
3.64 348600 115038 522900 281868 547800 322206 
3.65 348600 115038 522900 281868 547800 322206 
3.66 348600 115038 522900 281868 547800 322206 
3.67 348600 115038 522900 281868 547800 322206 
3.68 348600 115038 522900 281868 547800 322206 
3.69 348600 115038 522900 281868 547800 322206 
3.7 348600 115038 522900 281868 547800 322206 
3.71 348600 115038 522900 281868 547800 322206 
3.72 348600 115038 522900 281868 547800 322206 
3.73 348600 120516 522900 287844 547800 334656 
3.74 348600 120516 522900 287844 547800 334656 
3.75 348600 120516 522900 287844 547800 334656 
3.76 348600 120516 522900 287844 547800 334656 
3.77 348600 120516 522900 287844 547800 334656 
3.78 348600 120516 522900 287844 547800 334656 
3.79 348600 120516 522900 287844 547800 334656 
3.8 348600 120516 522900 287844 547800 334656 
3.81 348600 120516 522900 287844 572700 334656 
3.82 348600 120516 522900 287844 572700 334656 
3.83 348600 126492 522900 293322 572700 347106 
3.84 348600 126492 522900 293322 572700 347106 
3.85 348600 126492 522900 293322 572700 347106 
3.86 348600 126492 522900 293322 572700 347106 
3.87 348600 126492 522900 293322 572700 347106 
3.88 348600 126492 522900 293322 572700 347106 
3.89 348600 126492 522900 293322 572700 347106 
3.9 348600 126492 522900 293322 572700 347106 
3.91 373500 126492 522900 293322 572700 347106 
3.92 373500 126492 522900 293322 572700 347106 
3.93 373500 131970 522900 299298 572700 359556 
3.94 373500 131970 522900 299298 572700 359556 
3.95 373500 131970 522900 299298 572700 359556 
3.96 373500 131970 522900 299298 572700 359556 
3.97 373500 131970 522900 299298 572700 359556 
3.98 373500 131970 522900 299298 572700 359556 
3.99 373500 131970 522900 299298 572700 359556 
4 373500 131970 522900 299298 572700 359556 
4.01 373500 131970 547800 299298 597600 359556 
4.02 373500 131970 547800 299298 597600 359556 
4.03 373500 137946 547800 304776 597600 371508 
4.04 373500 137946 547800 304776 597600 371508 
4.05 373500 137946 547800 304776 597600 371508 
4.06 373500 137946 547800 304776 597600 371508 
4.07 373500 137946 547800 304776 597600 371508 
4.08 373500 137946 547800 304776 597600 371508 
4.09 373500 137946 547800 304776 597600 371508 
4.1 373500 137946 547800 304776 597600 371508 
4.11 373500 137946 547800 304776 597600 371508 
4.12 373500 137946 547800 304776 597600 371508 
4.13 373500 143424 547800 310752 597600 384456 
4.14 373500 143424 547800 310752 597600 384456 
4.15 373500 143424 547800 310752 597600 384456 
4.16 373500 143424 547800 310752 597600 384456 
4.17 373500 143424 547800 310752 597600 384456 
4.18 373500 143424 547800 310752 597600 384456 
4.19 373500 143424 547800 310752 597600 384456 
4.2 373500 143424 547800 310752 597600 384456 
4.21 373500 143424 547800 310752 622500 384456 
4.22 373500 143424 547800 310752 622500 384456 
4.23 373500 148902 547800 316230 622500 396906 
4.24 373500 148902 547800 316230 622500 396906 
4.25 373500 148902 547800 316230 622500 396906 
4.26 373500 148902 547800 316230 622500 396906 
4.27 373500 148902 547800 316230 622500 396906 
